date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:58	287/287	---MCZ	200	added ('OK')	text/plain	date:Wed,%2018%20Oct%2017%2016:45:14%20+0000	http://sites.udel.edu/robots.txt		(from )
12:49:58	24192/24192	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%2017%2016:49:06%20+0000	http://sites.udel.edu/arden-map/	/home/trescube/arden/sites.udel.edu/arden-map/index.html	(from )
12:49:58	162/162	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2018%20Oct%202017%2016:49:58%20GMT	http://sites.udel.edu/arden-map/xmlrpc.php	/home/trescube/arden/sites.udel.edu/arden-map/xmlrpc.php	(from http://sites.udel.edu/arden-map/)
12:49:59	71324/71324	---MCZ	200	added ('OK')	text/css	etag:W/%225911c272-1169c%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/style4a41.css	(from http://sites.udel.edu/arden-map/)
12:49:59	925/925	---MCZ	200	added ('OK')	text/css	etag:W/%225911c1ff-39d%22	http://sites.udel.edu/arden-map/wp-content/mu-plugins/subscribe-by-email/assets/css/widget.css?ver=20131002	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/mu-plugins/subscribe-by-email/assets/css/widget49f8.css	(from http://sites.udel.edu/arden-map/)
12:49:59	4095/4095	---MCZ	200	added ('OK')	text/css	etag:W/%225911c200-fff%22	http://sites.udel.edu/arden-map/wp-content/plugins/wp-featherlight/css/wp-featherlight.min.css?ver=0.3.1	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/plugins/wp-featherlight/css/wp-featherlight.min771e.css	(from http://sites.udel.edu/arden-map/)
12:49:59	1565/1565	---MC-	200	added ('OK')	application/rss+xml	etag:%22af3f3bb80bc551dfb4560a676508dec3%22	http://sites.udel.edu/arden-map/feed/	/home/trescube/arden/sites.udel.edu/arden-map/feed/index.html	(from http://sites.udel.edu/arden-map/)
12:50:00	97184/97184	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258775b68-17ba0%22	http://sites.udel.edu/arden-map/wp-includes/js/jquery/jquery.js?ver=1.12.4	/home/trescube/arden/sites.udel.edu/arden-map/wp-includes/js/jquery/jqueryb8ff.js	(from http://sites.udel.edu/arden-map/)
12:50:00	10056/10056	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258775b68-2748%22	http://sites.udel.edu/arden-map/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/home/trescube/arden/sites.udel.edu/arden-map/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://sites.udel.edu/arden-map/)
12:50:00	766/766	---MC-	200	added ('OK')	application/rss+xml	etag:%2219e7dc3ff9abfd5639c63542f5fdf7b1%22	http://sites.udel.edu/arden-map/comments/feed/	/home/trescube/arden/sites.udel.edu/arden-map/comments/feed/index.html	(from http://sites.udel.edu/arden-map/)
12:50:00	15156/15156	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225911c272-3b34%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/js/modernizr-2.6.2.min.js?ver=2.6.2	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/js/modernizr-2.6.2.min61da.js	(from http://sites.udel.edu/arden-map/)
12:50:01	19744/19744	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225911c272-4d20%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/js/jquery.cycle2.min.js?ver=20130202	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/js/jquery.cycle2.min7508.js	(from http://sites.udel.edu/arden-map/)
